新入社員,しんにゅうしゃいん,新员工、新人职员,<div style="text-align:left">1. 新入社員は研修を受けます。<br>2. 新入社員は一生懸命働きます。</div>
心構え,こころがまえ,心态、心理准备,<div style="text-align:left">1. 心構えを整えましょう。<br>2. 面接の心構えが大切です。</div>
主体性,しゅたいせい,主体性、主动性,<div style="text-align:left">1. 主体性を持って行動します。<br>2. 主体性が評価されます。</div>
論理性,ろんりせい,逻辑性,<div style="text-align:left">1. 論理性のある説明をします。<br>2. 論理性を重視します。</div>
社会人,しゃかいじん,社会人士,<div style="text-align:left">1. 社会人として働きます。<br>2. 社会人のマナーを学びます。</div>
目的,もくてき,目的、目标,<div style="text-align:left">1. 目的を明確にします。<br>2. 目的に沿って行動します。</div>
自覚,じかく,自觉、自我意识,<div style="text-align:left">1. 自覚を持って仕事します。<br>2. 自覚が重要です。</div>
成長,せいちょう,成长、进步,<div style="text-align:left">1. 日々成長を感じます。<br>2. 成長の機会を逃さない。</div>
自立,じりつ,自立、独立,<div style="text-align:left">1. 自立して行動します。<br>2. 自立心を育てます。</div>
積極性,せっきょくせい,积极性,<div style="text-align:left">1. 積極性を見せます。<br>2. 積極性が評価されます。</div>
視点,してん,视点、角度,<div style="text-align:left">1. 視点を変えて考えます。<br>2. 新しい視点が必要です。</div>
視野,しや,视野、知识面,<div style="text-align:left">1. 視野を広げます。<br>2. 視野が狭くならないようにします。</div>
意義,いぎ,意义、价值,<div style="text-align:left">1. 意義のある仕事をします。<br>2. 意義を考えます。</div>
検証,けんしょう,验证、检验,<div style="text-align:left">1. 仮説を検証します。<br>2. データを検証します。</div>
指示,しじ,指示、命令,<div style="text-align:left">1. 上司の指示に従います。<br>2. 指示を明確にします。</div>
改革,かいかく,改革、革新,<div style="text-align:left">1. 改革を進めます。<br>2. 改革の必要性を考えます。</div>
初心,しょしん,初学时的心情,<div style="text-align:left">1. 初心を忘れない。<br>2. 初心を大切にします。</div>
在職,ざいしょく,在职,<div style="text-align:left">1. 在職期間を確認します。<br>2. 在職証明書を提出します。</div>
退職,たいしょく,离职、退休,<div style="text-align:left">1. 退職手続きをします。<br>2. 退職金を確認します。</div>
アジェンダ,あじぇんだ,议程 (agenda),<div style="text-align:left">1. 会議のアジェンダを作ります。<br>2. アジェンダを確認します。</div>
タイムライン,たいむらいん,时间线,<div style="text-align:left">1. プロジェクトのタイムラインを作ります。<br>2. タイムラインを確認します。</div>
投稿,とうこう,投稿、发表,<div style="text-align:left">1. 投稿をチェックします。<br>2. 投稿内容を確認します。</div>
本音,ほんね,真心话、真实想法,<div style="text-align:left">1. 本音を話します。<br>2. 本音と建前の違いを理解します。</div>
即戦力,そくせんりょく,立刻能上手的人才,<div style="text-align:left">1. 即戦力として活躍します。<br>2. 即戦力が求められます。</div>
練習問題,れんしゅうもんだい,练习题,<div style="text-align:left">1. 練習問題を解きます。<br>2. 練習問題を復習します。</div>
格好つける,かっこうつける,装样子、逞强,<div style="text-align:left">1. 格好つけるのはやめます。<br>2. 格好つける必要はありません。</div>
火種,ひだね,火种，比喻矛盾起因,<div style="text-align:left">1. 火種を作らないようにします。<br>2. 小さな火種が大問題に。</div>
講演,こうえん,演讲,<div style="text-align:left">1. 講演を聴きます。<br>2. 講演の内容をまとめます。</div>
講演家,こうえんか,演讲者,<div style="text-align:left">1. 講演家に質問します。<br>2. 講演家の話を聞きます。</div>
執筆,しっぴつ,写作、执笔,<div style="text-align:left">1. 記事を執筆します。<br>2. 論文を執筆します。</div>
俯瞰,ふかん,俯视、宏观观察,<div style="text-align:left">1. 俯瞰して状況を見ます。<br>2. 俯瞰的な視点が大切です。</div>
ダブルバインド,だぶるばいんど,双重束缚,<div style="text-align:left">1. ダブルバインドの状況です。<br>2. ダブルバインドを理解します。</div>
指示待ち,しじまち,等待指示（不主动）,<div style="text-align:left">1. 指示待ちでは成長できません。<br>2. 指示待ちの状態です。</div>
行動,こうどう,行动,<div style="text-align:left">1. 行動を起こします。<br>2. 行動が評価されます。</div>
成果,せいか,成果、结果,<div style="text-align:left">1. 成果を報告します。<br>2. 成果を分析します。</div>
準備,じゅんび,准备,<div style="text-align:left">1. 準備を整えます。<br>2. 準備が重要です。</div>
環境,かんきょう,环境,<div style="text-align:left">1. 環境を整えます。<br>2. 働きやすい環境です。</div>
会社,かいしゃ,公司,<div style="text-align:left">1. 会社に行きます。<br>2. 会社の方針を確認します。</div>
社会,しゃかい,社会,<div style="text-align:left">1. 社会の一員として働きます。<br>2. 社会問題を考えます。</div>
役割,やくわり,角色、职责,<div style="text-align:left">1. 役割を果たします。<br>2. 役割分担を確認します。</div>
成功,せいこう,成功,<div style="text-align:left">1. 成功を目指します。<br>2. 成功の秘訣を学びます。</div>
課題,かだい,课题、问题,<div style="text-align:left">1. 課題を解決します。<br>2. 課題を整理します。</div>
必要,ひつよう,必要、需要,<div style="text-align:left">1. 必要な資料を準備します。<br>2. 必要性を考えます。</div>
責任,せきにん,责任,<div style="text-align:left">1. 責任を持って行動します。<br>2. 責任を果たします。</div>
解決,かいけつ,解决,<div style="text-align:left">1. 問題を解決します。<br>2. 解決策を考えます。</div>
具体的,ぐたいてき,具体的,<div style="text-align:left">1. 具体的な計画を立てます。<br>2. 具体的な例を示します。</div>
知識,ちしき,知识,<div style="text-align:left">1. 知識を増やします。<br>2. 知識を活用します。</div>
能力,のうりょく,能力,<div style="text-align:left">1. 能力を発揮します。<br>2. 能力を評価されます。</div>
効率,こうりつ,效率,<div style="text-align:left">1. 効率を上げます。<br>2. 効率的に作業します。</div>
経験,けいけん,经验,<div style="text-align:left">1. 経験を積みます。<br>2. 経験が役立ちます。</div>
雰囲気,ふんいき,气氛、氛围,<div style="text-align:left">1. 雰囲気が良い職場です。<br>2. 雰囲気を壊さないようにします。</div>
態度,たいど,态度,<div style="text-align:left">1. 態度を正します。<br>2. 態度が大切です。</div>
判断,はんだん,判断,<div style="text-align:left">1. 判断を誤らないようにします。<br>2. 判断力を養います。</div>
認識,にんしき,认知、认识,<div style="text-align:left">1. 認識を改めます。<br>2. 認識を共有します。</div>
期待,きたい,期待,<div style="text-align:left">1. 期待に応えます。<br>2. 期待を持って行動します。</div>
信頼,しんらい,信赖,<div style="text-align:left">1. 信頼関係を築きます。<br>2. 信頼される人になりたいです。</div>
協力,きょうりょく,协力,<div style="text-align:left">1. 協力して仕事を進めます。<br>2. 協力が必要です。</div>
貢献,こうけん,贡献,<div style="text-align:left">1. 社会に貢献します。<br>2. チームに貢献します。</div>
挑戦,ちょうせん,挑战,<div style="text-align:left">1. 新しいことに挑戦します。<br>2. 挑戦を恐れません。</div>
向上心,こうじょうしん,上进心,<div style="text-align:left">1. 向上心を持って学びます。<br>2. 向上心が大切です。</div>
自信,じしん,自信,<div style="text-align:left">1. 自信を持って発言します。<br>2. 自信をつけます。</div>
不安,ふあん,不安、担心,<div style="text-align:left">1. 不安を感じます。<br>2. 不安を解消します。</div>
心配,しんぱい,担心,<div style="text-align:left">1. 心配しすぎないようにします。<br>2. 心配をかけません。</div>
緊張,きんちょう,紧张,<div style="text-align:left">1. 緊張して発表します。<br>2. 緊張をほぐします。</div>
改善,かいぜん,改善,<div style="text-align:left">1. 改善策を考えます。<br>2. 改善を続けます。</div>
計画,けいかく,计划,<div style="text-align:left">1. 計画を立てます。<br>2. 計画通り進めます。</div>
説明,せつめい,说明,<div style="text-align:left">1. 説明を丁寧にします。<br>2. 説明が不足しています。</div>
質問,しつもん,提问、问题,<div style="text-align:left">1. 質問をしてください。<br>2. 質問に答えます。</div>
返事,へんじ,回答、回复,<div style="text-align:left">1. 返事を返します。<br>2. 返事を待ちます。</div>
会議,かいぎ,会议,<div style="text-align:left">1. 会議に出席します。<br>2. 会議で発表します。</div>
発表,はっぴょう,发表、报告,<div style="text-align:left">1. 発表の準備をします。<br>2. 発表を成功させます。</div>
提案,ていあん,提案、建议,<div style="text-align:left">1. 提案を出します。<br>2. 提案を検討します。</div>
調整,ちょうせい,调整,<div style="text-align:left">1. 調整を行います。<br>2. スケジュールを調整します。</div>
管理,かんり,管理,<div style="text-align:left">1. プロジェクトを管理します。<br>2. 管理職として働きます。</div>
評価,ひょうか,评价,<div style="text-align:left">1. 評価を受けます。<br>2. 評価を考慮します。</div>
目標,もくひょう,目标,<div style="text-align:left">1. 目標を設定します。<br>2. 目標を達成します。</div>
達成,たっせい,达成,<div style="text-align:left">1. 達成感を味わいます。<br>2. 達成率を確認します。</div>
努力,どりょく,努力,<div style="text-align:left">1. 努力を続けます。<br>2. 努力が報われます。</div>
集中,しゅうちゅう,集中,<div style="text-align:left">1. 集中して作業します。<br>2. 集中力を高めます。</div>
習慣,しゅうかん,习惯,<div style="text-align:left">1. 良い習慣を身につけます。<br>2. 習慣を変えます。</div>
基本,きほん,基本,<div style="text-align:left">1. 基本を大事にします。<br>2. 基本を理解します。</div>
形式,けいしき,形式,<div style="text-align:left">1. 形式に従います。<br>2. 形式を確認します。</div>
方法,ほうほう,方法,<div style="text-align:left">1. 方法を考えます。<br>2. 方法を改善します。</div>
手段,しゅだん,手段,<div style="text-align:left">1. 手段を選びます。<br>2. 手段を検討します。</div>
内容,ないよう,内容,<div style="text-align:left">1. 内容を確認します。<br>2. 内容をまとめます。</div>
状況,じょうきょう,状况,<div style="text-align:left">1. 状況を把握します。<br>2. 状況を報告します。</div>
条件,じょうけん,条件,<div style="text-align:left">1. 条件を満たします。<br>2. 条件を確認します。</div>
結果,けっか,结果,<div style="text-align:left">1. 結果を分析します。<br>2. 結果を報告します。</div>
影響,えいきょう,影响,<div style="text-align:left">1. 影響を考慮します。<br>2. 影響を最小化します。</div>
利益,りえき,利益,<div style="text-align:left">1. 利益を追求します。<br>2. 利益を確保します。</div>
成功率,せいこうりつ,成功率,<div style="text-align:left">1. 成功率を高めます。<br>2. 成功率を分析します。</div>
効用,こうよう,效用,<div style="text-align:left">1. 効用を評価します。<br>2. 効用を最大化します。</div>
課程,かてい,课程,<div style="text-align:left">1. 課程を履修します。<br>2. 課程を修了します。</div>
練習,れんしゅう,练习,<div style="text-align:left">1. 練習を重ねます。<br>2. 練習が必要です。</div>
資料,しりょう,资料,<div style="text-align:left">1. 資料を準備します。<br>2. 資料を確認します。</div>
習得,しゅうとく,学会、掌握,<div style="text-align:left">1. 技能を習得します。<br>2. 習得した知識を活用します。</div>
実力,じつりょく,实力,<div style="text-align:left">1. 実力を試します。<br>2. 実力を認められます。</div>
能動的,のうどうてき,主动的,<div style="text-align:left">1. 能動的に行動します。<br>2. 能動的な姿勢が評価されます。</div>
受動的,じゅどうてき,被动的,<div style="text-align:left">1. 受動的な態度を改めます。<br>2. 受動的になりすぎないよう注意します。</div>
積極的,せっきょくてき,积极的,<div style="text-align:left">1. 積極的に提案します。<br>2. 積極的な参加が求められます。</div>
消極的,しょうきょくてき,消极的,<div style="text-align:left">1. 消極的な考え方を変えます。<br>2. 消極的な態度は避けます。</div>
自主性,じしゅせい,自主性,<div style="text-align:left">1. 自主性を発揮します。<br>2. 自主性を評価されます。</div>
柔軟性,じゅうなんせい,灵活性,<div style="text-align:left">1. 柔軟性を持って対応します。<br>2. 柔軟性が必要です。</div>
行為,こうい,行为,<div style="text-align:left">1. 適切な行為を心がけます。<br>2. 不適切な行為は避けます。</div>
態勢,たいせい,姿态、态势,<div style="text-align:left">1. 防災態勢を整えます。<br>2. 態勢を確認します。</div>
課長,かちょう,科长,<div style="text-align:left">1. 課長に報告します。<br>2. 課長の指示に従います。</div>
部長,ぶちょう,部长,<div style="text-align:left">1. 部長と会議します。<br>2. 部長の承認を得ます。</div>
社長,しゃちょう,社长,<div style="text-align:left">1. 社長に提案します。<br>2. 社長の方針を理解します。</div>
先輩,せんぱい,前辈,<div style="text-align:left">1. 先輩に相談します。<br>2. 先輩のアドバイスを参考にします。</div>
後輩,こうはい,后辈,<div style="text-align:left">1. 後輩を指導します。<br>2. 後輩に助言します。</div>
同僚,どうりょう,同事,<div style="text-align:left">1. 同僚と協力します。<br>2. 同僚と情報を共有します。</div>
上司,じょうし,上司,<div style="text-align:left">1. 上司に報告します。<br>2. 上司の指示に従います。</div>
部下,ぶか,部下,<div style="text-align:left">1. 部下を指導します。<br>2. 部下の意見を聞きます。</div>
同期,どうき,同期（同届入职者）,<div style="text-align:left">1. 同期と情報交換します。<br>2. 同期と協力します。</div>
就職,しゅうしょく,就业,<div style="text-align:left">1. 就職活動を始めます。<br>2. 就職先を決めます。</div>
転職,てんしょく,转职,<div style="text-align:left">1. 転職を考えています。<br>2. 転職活動を行います。</div>
面接,めんせつ,面试,<div style="text-align:left">1. 面接に臨みます。<br>2. 面接で自己PRします。</div>
履歴書,りれきしょ,履历表,<div style="text-align:left">1. 履歴書を提出します。<br>2. 履歴書を更新します。</div>
職務,しょくむ,职务,<div style="text-align:left">1. 職務を全うします。<br>2. 職務内容を確認します。</div>
職場,しょくば,工作场所,<div style="text-align:left">1. 職場のルールを守ります。<br>2. 職場で協力します。</div>
労働,ろうどう,劳动,<div style="text-align:left">1. 労働時間を管理します。<br>2. 労働条件を確認します。</div>
残業,ざんぎょう,加班,<div style="text-align:left">1. 残業を申請します。<br>2. 残業が多いです。</div>
勤務,きんむ,工作、值班,<div style="text-align:left">1. 勤務時間を守ります。<br>2. 勤務態度を評価されます。</div>
出勤,しゅっきん,上班,<div style="text-align:left">1. 毎日出勤します。<br>2. 出勤簿に記入します。</div>
退勤,たいきん,下班,<div style="text-align:left">1. 定時に退勤します。<br>2. 退勤時に報告します。</div>
有給,ゆうきゅう,带薪休假,<div style="text-align:left">1. 有給休暇を取得します。<br>2. 有給休暇を申請します。</div>
休暇,きゅうか,假期,<div style="text-align:left">1. 休暇を楽しみます。<br>2. 休暇を計画します。</div>
休日,きゅうじつ,休息日,<div style="text-align:left">1. 休日はリラックスします。<br>2. 休日に出かけます。</div>
連休,れんきゅう,连休,<div style="text-align:left">1. 連休を利用して旅行します。<br>2. 連休の計画を立てます。</div>
契約,けいやく,合同、契约,<div style="text-align:left">1. 契約を締結します。<br>2. 契約内容を確認します。</div>
条約,じょうやく,条约,<div style="text-align:left">1. 条約を理解します。<br>2. 条約に基づき行動します。</div>
規則,きそく,规则,<div style="text-align:left">1. 規則を守ります。<br>2. 規則を確認します。</div>
法律,ほうりつ,法律,<div style="text-align:left">1. 法律を遵守します。<br>2. 法律を学びます。</div>
制度,せいど,制度,<div style="text-align:left">1. 制度を理解します。<br>2. 制度の改善を提案します。</div>
規律,きりつ,纪律,<div style="text-align:left">1. 規律を守ります。<br>2. 規律違反は注意されます。</div>
義務,ぎむ,义务,<div style="text-align:left">1. 義務を果たします。<br>2. 義務感を持ちます。</div>
権利,けんり,权利,<div style="text-align:left">1. 権利を主張します。<br>2. 権利を理解します。</div>
就業規則,しゅうぎょうきそく,就业规定,<div style="text-align:left">1. 就業規則を確認します。<br>2. 就業規則を守ります。</div>
罰則,ばっそく,处罚规定,<div style="text-align:left">1. 罰則に従います。<br>2. 罰則を理解します。</div>
労働基準法,ろうどうきじゅんほう,劳动基准法,<div style="text-align:left">1. 労働基準法を学びます。<br>2. 労働基準法を遵守します。</div>
賃金,ちんぎん,工资,<div style="text-align:left">1. 賃金を支払います。<br>2. 賃金明細を確認します。</div>
給料,きゅうりょう,薪水,<div style="text-align:left">1. 給料日を待ちます。<br>2. 給料が振り込まれます。</div>
報酬,ほうしゅう,报酬,<div style="text-align:left">1. 報酬を受け取ります。<br>2. 報酬額を確認します。</div>
ボーナス,ぼーなす,奖金 (bonus),<div style="text-align:left">1. ボーナスが支給されます。<br>2. ボーナスで買い物します。</div>
年収,ねんしゅう,年收入,<div style="text-align:left">1. 年収を確認します。<br>2. 年収アップを目指します。</div>
手当,てあて,津贴,<div style="text-align:left">1. 手当を申請します。<br>2. 手当の内容を確認します。</div>
昇給,しょうきゅう,加薪,<div style="text-align:left">1. 昇給の時期を待ちます。<br>2. 昇給の条件を確認します。</div>
昇進,しょうしん,晋升,<div style="text-align:left">1. 昇進試験を受けます。<br>2. 昇進を目指します。</div>
昇格,しょうかく,升格、升级,<div style="text-align:left">1. 昇格試験を受けます。<br>2. 昇格の通知を受けます。</div>
人事,じんじ,人事、人力资源,<div style="text-align:left">1. 人事部に相談します。<br>2. 人事異動があります。</div>
配属,はいぞく,分配（工作岗位）,<div style="text-align:left">1. 新しい部署に配属されます。<br>2. 配属先で仕事を始めます。</div>
異動,いどう,调动,<div style="text-align:left">1. 異動の通知を受けます。<br>2. 異動先で勤務します。</div>
左遷,させん,降职,<div style="text-align:left">1. 左遷の理由を理解します。<br>2. 左遷に備えます。</div>
出世,しゅっせ,出人头地、晋升,<div style="text-align:left">1. 出世を目指します。<br>2. 出世のチャンスを掴みます。</div>
昇進試験,しょうしんしけん,晋升考试,<div style="text-align:left">1. 昇進試験を受けます。<br>2. 昇進試験に合格します。</div>
管理職,かんりしょく,管理职位,<div style="text-align:left">1. 管理職に任命されます。<br>2. 管理職として働きます。</div>
経営者,けいえいしゃ,经营者,<div style="text-align:left">1. 経営者として決定します。<br>2. 経営者の判断を学びます。</div>
役員,やくいん,董事、干事,<div style="text-align:left">1. 役員会に参加します。<br>2. 役員としての責任を持ちます。</div>
取締役,とりしまりやく,董事,<div style="text-align:left">1. 取締役会に出席します。<br>2. 取締役の決定を確認します。</div>
会長,かいちょう,会长,<div style="text-align:left">1. 会長に報告します。<br>2. 会長の方針を確認します。</div>
代表,だいひょう,代表,<div style="text-align:left">1. 会社を代表します。<br>2. 代表として発言します。</div>
責務,せきむ,责任、职责,<div style="text-align:left">1. 責務を全うします。<br>2. 責務を確認します。</div>
